ID	child	mother
M117	2.37254902	2.315068493
M132	2.18018018	2.578947368
M137	2.085106383	2.16
M186	2.20610687	2.227722772
M188	1.132743363	1.474916388
M190	1.945945946	2.322580645
M195	2.253333333	2.283018868
M196	2.279069767	2.253333333
M199	3.130434783	2.253333333
M200	2.219178082	2.492307692
M203	2.165745856	1.265917603
M207	1.124513619	1.37398374
M210	2.322580645	2.279069767
M211	2.16	2.16
M213	1.947040498	2.285266458
M231	2.177777778	2.04964539
M234	2.283018868	2.177777778
M236	1.991150442	2.109489051
M240	2.777777778	2.571428571
M242	2.682539683	2.272727273
M249	2.253333333	2.253333333
M250	2.398671096	2.28975265
M252	2	2.102803738
M477	2.169491525	2.227722772
M478	2.177777778	2.322580645
M480	2.322580645	2.8
M490	2.227722772	2.597122302
M493	2.666666667	2.314285714
M494	2.745762712	2.150537634
M500	1.855072464	2.16
M502G	2.050847458	2.050847458
M512	2.359477124	3.063291139
M520	2.388429752	2.597402597
SC14	2.666666667	1.360544218
SC16	2.752380952	2.314285714
SC8	2.253333333	2.20610687
