ID	child	mother
M117	1	1
M132	2.283018868	1.975609756
M137	1.588235294	2.2
M186	1.588235294	1.28
M188	1	1
M190	2.133333333	1.814814815
M195	1.814814815	1.384615385
M196	1.324324324	1
M199	1	1
M200	3.666666667	1.923076923
M203	2.275590551	2.859459459
M207	1	1
M210	1.384615385	1.689655172
M211	1.814814815	1.689655172
M213	2	1.457831325
M231	1.28	1.457831325
M234	1.384615385	2.285714286
M236	2.133333333	1.923076923
M240	1	1
M242	1.384615385	1.324324324
M249	1.470588235	2.272727273
M250	1.851282051	1.152941176
M252	2.076923077	2.076923077
M477	1.588235294	1.28
M478	2.909090909	1.470588235
M480	2	1.470588235
M490	1.28	1.588235294
M493	1.384615385	1
M494	1.684210526	1.805970149
M500	1.457831325	1.805970149
M502G	1	1.324324324
M512	1.814814815	1.684210526
M520	1.588235294	1.528301887
SC14	1.384615385	1
SC16	1.28	1.923076923
SC8	1.324324324	1.588235294
