ID	child	mother
M117	1.978998384	1.515151515
M132	2.541353383	1.742813918
M137	2.272727273	1.422408242
M186	1.720325203	1.73706531
M188	2.173913043	2.321543408
M190	1.741935484	1.668721109
M195	1.77383592	1.652056642
M196	1.796491228	1.670146138
M199	1.628169014	1.601634321
M200	2.160337553	1.995843724
M203	1.753623188	1.993846154
M207	2.050847458	2.622695035
M210	2.177777778	1.981008513
M211	2.022944551	2.322580645
M213	2.090211132	2.183600713
M231	1.857142857	1.88988764
M234	2.283018868	2.179138322
M236	2.310043668	1.8
M240	1.997260274	1.96
M242	2.093023256	2.023715415
M249	1.994475138	1.947535771
M250	2.367477593	2.491990847
M252	1.857142857	1.855195911
M477	2.046035806	1.87961165
M478	1.950248756	1.811320755
M480	2.039840637	2.110047847
M490	2.231660232	2.044025157
M493	2.299684543	1.806451613
M494	2.549348231	1.655274013
M500	1.83047619	1.650904475
M502G	1.684210526	2.093023256
M512	2.332361516	2.071823204
M520	1.998165138	1.928189911
SC14	2.455782313	2.172413793
SC16	2.098626717	1.897691828
SC8	2.540069686	1.796105384
