ID	child	mother
M117	4.371900826	3.846153846
M132	4.333333333	5.751173709
M137	4.235294118	5.19112628
M186	3.931972789	5.737662338
M188	2.131578947	1.62
M190	1.942528736	7.609053498
M195	5.356687898	6.457471264
M196	4.232	6.52173913
M199	6.035714286	5.98381877
M200	4.761904762	6.168674699
M203	7.111111111	2.181818182
M207	4.083333333	1.488372093
M210	3.368421053	7.734463277
M211	5.421686747	6.48
M213	6.04109589	6.563636364
M231	2.131578947	3.773584906
M234	1.384615385	4.813333333
M236	3.52173913	5.939393939
M240	3.951219512	5.764705882
M242	2.755725191	4.95505618
M249	2.666666667	4.4
M250	1.977578475	1.152941176
M252	3.857142857	3.977443609
M477	4.567567568	4.205607477
M478	5.553846154	5.838383838
M480	3.834782609	5.739622642
M490	2.240310078	5.048048048
M493	6.095238095	7.01754386
M494	4	7.111111111
M500	4.101694915	7.591549296
M502G	4.661870504	4.569620253
M512	3.130434783	5.16344086
M520	4.84	5.120567376
SC14	2.793103448	6.368421053
SC16	4.567567568	5.321167883
SC8	4.666666667	6.4
