ID	PCG	non-coding	rRNA	tRNA
c_blood	5	5	1	0
c_blood	11	10	1	0
c_blood	9	3	2	0
c_blood	9	7	1	0
c_blood	1	15	0	0
c_blood	8	3	1	0
c_blood	7	5	1	0
c_blood	7	6	1	0
c_blood	5	4	2	1
c_blood	11	4	3	0
c_blood	17	8	3	0
c_blood	1	16	0	0
c_blood	6	5	1	0
c_blood	7	10	1	0
c_blood	16	8	1	0
c_blood	8	5	1	0
c_blood	6	4	1	0
c_blood	8	7	0	0
c_blood	2	2	1	0
c_blood	6	5	1	1
c_blood	5	7	1	0
c_blood	19	15	4	0
c_blood	9	4	1	0
c_blood	9	6	1	0
c_blood	8	5	1	0
c_blood	6	5	1	0
c_blood	8	6	1	0
c_blood	6	4	1	1
c_blood	8	7	2	1
c_blood	11	4	1	0
c_blood	7	3	1	0
c_blood	7	10	0	2
c_blood	9	6	2	0
c_blood	6	4	1	1
c_blood	8	6	2	1
c_blood	7	5	1	0
