ID	PCG	non-coding	rRNA	tRNA
M117C1	5	5	1	0
M132C1	11	10	1	0
M137C2	9	3	2	0
M186C2	9	7	1	0
M188C2	1	15	0	0
M190C2	8	3	1	0
M195C1	7	5	1	0
M196C1	7	6	1	0
M199C1	5	4	2	1
M200C1	11	4	3	0
M203C5	17	8	3	0
M207C4	1	16	0	0
M210C1	6	5	1	0
M211C1	7	10	1	0
M213C2	16	8	1	0
M231C3	8	5	1	0
M234C1	6	4	1	0
M236C4	8	7	0	0
M240C1	2	2	1	0
M242C3	6	5	1	1
M249C4	5	7	1	0
M250C1	19	15	4	0
M252C2	9	4	1	0
M477C2	9	6	1	0
M478C2	8	5	1	0
M480C2	6	5	1	0
M490C3	8	6	1	0
M493C1	6	4	1	1
M494C1	8	7	2	1
M500C1	11	4	1	0
M501	7	3	1	0
M512C2	7	10	0	2
M520C3	9	6	2	0
SC14C2	6	4	1	1
SC16C3	8	6	2	1
SC8C1	7	5	1	0
