ID	PCG	non-coding	rRNA	tRNA
M117C1	23	9	3	0
M132C1	13	9	4	0
M137C2	12	4	4	0
M186C2	34	7	5	0
M188C2	18	9	3	0
M190C2	13	4	1	0
M195C1	29	5	6	0
M196C1	23	5	4	0
M199C1	26	3	5	0
M200C1	20	7	5	0
M203C5	16	2	4	0
M207C4	28	12	4	0
M210C1	16	10	2	0
M211C1	30	11	5	0
M213C2	21	8	4	0
M231C3	18	6	2	0
M234C1	6	4	1	0
M236C4	9	12	2	0
M240C1	18	5	4	0
M242C3	19	8	2	1
M249C4	12	6	1	0
M250C1	21	18	4	0
M252C2	18	6	2	0
M477C2	26	9	5	0
M478C2	19	5	4	0
M480C2	21	6	5	0
M490C3	17	15	2	0
M493C1	16	6	5	0
M494C1	20	10	6	1
M500C1	22	5	4	0
M501	36	6	6	0
M512C2	24	9	5	2
M520C3	22	6	5	0
SC14C2	9	8	1	1
SC16C3	26	10	5	0
SC8C1	14	9	3	1
