ID	PCG	non-coding	rRNA	tRNA
c_cheek	23	9	3	0
c_cheek	13	9	4	0
c_cheek	12	4	4	0
c_cheek	34	7	5	0
c_cheek	18	9	3	0
c_cheek	13	4	1	0
c_cheek	29	5	6	0
c_cheek	23	5	4	0
c_cheek	26	3	5	0
c_cheek	20	7	5	0
c_cheek	16	2	4	0
c_cheek	28	12	4	0
c_cheek	16	10	2	0
c_cheek	30	11	5	0
c_cheek	21	8	4	0
c_cheek	18	6	2	0
c_cheek	6	4	1	0
c_cheek	9	12	2	0
c_cheek	18	5	4	0
c_cheek	19	8	2	1
c_cheek	12	6	1	0
c_cheek	21	18	4	0
c_cheek	18	6	2	0
c_cheek	26	9	5	0
c_cheek	19	5	4	0
c_cheek	21	6	5	0
c_cheek	17	15	2	0
c_cheek	16	6	5	0
c_cheek	20	10	6	1
c_cheek	22	5	4	0
c_cheek	36	6	6	0
c_cheek	24	9	5	2
c_cheek	22	6	5	0
c_cheek	9	8	1	1
c_cheek	26	10	5	0
c_cheek	14	9	3	1
