ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
M117C1	0	0	0	0	0	0	5	0	0	0	0	0	0
M132C1	0	0	1	1	1	0	7	0	1	0	0	0	0
M137C2	0	0	0	1	0	0	7	0	0	1	0	0	0
M186C2	0	1	0	1	0	0	7	0	0	0	0	0	0
M188C2	0	0	0	0	0	0	0	1	0	0	0	0	0
M190C2	0	0	1	2	0	0	5	0	0	0	0	0	0
M195C1	0	0	1	0	1	0	5	0	0	0	0	0	0
M196C1	0	0	1	0	0	0	6	0	0	0	0	0	0
M199C1	0	0	0	0	0	0	5	0	0	0	0	0	0
M200C1	1	0	1	2	1	0	5	0	0	1	0	0	0
M203C5	0	1	0	1	0	1	11	1	1	0	0	1	0
M207C4	0	0	0	0	0	0	1	0	0	0	0	0	0
M210C1	0	0	0	0	0	0	5	0	0	1	0	0	0
M211C1	0	0	1	0	0	0	5	0	0	1	0	0	0
M213C2	0	1	0	1	0	0	11	0	0	2	0	1	0
M231C3	0	0	0	1	0	0	7	0	0	0	0	0	0
M234C1	0	0	0	1	0	0	5	0	0	0	0	0	0
M236C4	0	0	2	1	0	0	5	0	0	0	0	0	0
M240C1	0	0	0	0	0	0	0	0	0	0	0	2	0
M242C3	0	0	0	0	1	0	5	0	0	0	0	0	0
M249C4	0	0	0	0	0	0	4	0	0	0	0	1	0
M250C1	1	0	0	0	0	0	13	0	5	0	0	0	0
M252C2	0	0	1	1	0	1	6	0	0	0	0	0	0
M477C2	0	0	0	1	0	0	7	0	1	0	0	0	0
M478C2	0	0	1	2	0	0	4	0	0	0	0	1	0
M480C2	0	1	1	0	0	0	4	0	0	0	0	0	0
M490C3	0	0	0	1	0	0	7	0	0	0	0	0	0
M493C1	1	0	0	0	0	0	5	0	0	0	0	0	0
M494C1	0	0	0	1	0	0	6	0	0	1	0	0	0
M500C1	0	0	0	1	0	0	9	0	0	0	1	0	0
M501	0	0	0	0	0	0	7	0	0	0	0	0	0
M512C2	0	0	1	0	0	0	5	0	0	0	1	0	0
M520C3	0	0	0	1	0	0	7	1	0	0	0	0	0
SC14C2	0	0	0	0	0	0	5	0	0	0	0	1	0
SC16C3	0	0	0	1	0	0	7	0	0	0	0	0	0
SC8C1	0	0	0	0	0	0	6	0	0	0	0	1	0
