ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
SRR1583024	0	0	2	1	0	0	5	0	0	0	0	0	0
SRR1582919	0	1	0	2	0	0	9	0	0	0	0	1	0
SRR1582976	1	1	4	3	1	3	19	4	3	5	1	4	0
SRR1582934	0	1	0	0	0	0	13	0	1	0	0	1	0
SRR1583002	0	0	1	0	0	0	6	0	0	0	0	0	0
SRR1582954	0	0	0	0	0	0	13	0	1	0	0	0	0
SRR1582916	0	1	6	4	3	3	16	2	1	6	1	4	0
SRR1583062	0	0	0	1	0	0	7	0	0	0	0	0	0
SRR1582975	0	1	1	1	1	1	13	1	1	2	0	2	0
SRR1582930	0	1	0	0	0	0	15	0	6	1	0	1	0
SRR1583036	0	0	0	1	0	0	7	0	1	0	0	0	0
SRR1582995	0	0	0	0	0	0	0	1	0	0	0	0	0
SRR1583016	0	0	1	0	0	0	5	0	0	1	0	0	0
SRR1583009	0	0	0	0	0	0	1	0	0	0	0	0	0
SRR1582917	0	1	0	1	0	0	12	2	1	0	0	1	0
SRR1583052	1	0	0	0	0	0	6	0	0	0	0	0	0
SRR1582956	0	0	4	2	0	2	10	2	0	2	0	1	0
SRR1582953	1	1	0	0	0	0	14	0	5	0	0	0	0
SRR1583034	0	0	1	1	0	1	6	0	0	0	0	0	0
SRR1582929	1	1	2	1	0	1	4	2	0	2	0	2	0
SRR1582926	1	1	4	2	1	2	14	3	4	5	0	6	0
SRR1583013	0	0	0	0	0	0	5	0	0	2	0	0	0
SRR1583012	0	0	0	0	0	0	1	0	0	0	0	0	0
SRR1582951	0	0	0	1	0	1	6	0	0	0	0	4	0
SRR1582985	0	0	2	1	0	0	5	2	0	2	0	2	0
SRR1582927	1	1	2	1	0	1	8	1	1	3	0	1	0
SRR1583005	1	0	0	0	0	0	7	0	0	1	0	1	0
SRR1583048	0	0	0	1	0	0	6	0	0	1	0	0	0
SRR1582997	0	0	0	1	0	0	5	1	0	0	0	0	0
SRR1583063	0	0	0	1	1	0	7	0	0	0	0	0	0
SRR1583053	0	1	1	0	0	0	6	0	0	0	0	0	0
SRR1583020	0	0	0	1	0	0	7	0	0	0	0	0	0
SRR1582912	0	1	1	3	1	2	12	5	4	2	0	2	2
SRR1583041	0	0	0	0	0	0	0	0	0	0	0	1	0
SRR1582937	1	2	3	1	1	2	11	1	2	4	0	2	0
SRR1582982	0	0	3	2	1	1	1	1	0	1	0	1	0
SRR1582996	0	0	0	0	0	0	0	1	0	0	0	0	0
SRR1583022	0	0	0	1	0	0	5	0	0	0	0	0	0
SRR1582948	0	1	3	1	0	1	4	2	0	1	0	1	0
SRR1582910	2	1	2	3	1	2	19	5	2	1	0	1	1
SRR1582939	0	1	2	1	1	2	7	1	1	1	0	3	1
SRR1582933	2	1	1	1	1	2	13	2	2	1	0	1	1
SRR1583025	0	0	0	0	0	0	0	0	0	0	0	1	0
SRR1582964	1	2	4	3	1	2	11	4	3	2	0	1	0
SRR1582973	1	2	2	4	0	0	14	2	4	6	0	1	0
SRR1583049	0	1	0	1	0	0	8	0	0	1	0	0	0
SRR1583026	0	0	0	0	0	0	0	0	0	0	0	2	0
SRR1582978	0	1	5	4	1	4	15	2	1	3	1	4	1
SRR1583023	0	0	1	1	0	0	7	0	0	0	0	0	1
SRR1582993	0	0	0	1	0	0	7	0	0	0	0	0	0
SRR1582918	1	0	0	1	0	0	14	1	1	0	0	0	0
SRR1583007	1	1	0	2	0	0	13	1	1	2	0	2	0
SRR1583059	0	0	0	0	0	0	0	0	0	1	0	0	0
SRR1583055	0	0	0	0	0	0	0	0	0	1	0	0	0
SRR1582936	1	1	4	4	1	2	8	3	2	5	0	6	0
SRR1583044	0	0	0	1	0	0	7	0	0	0	0	0	0
SRR1582991	2	0	0	1	0	0	7	0	0	0	0	1	0
SRR1582915	1	2	2	2	1	1	16	3	3	1	0	2	0
SRR1582950	1	1	2	2	0	0	8	1	1	3	0	2	0
SRR1582957	1	1	1	3	1	2	11	1	2	2	0	1	0
SRR1582979	0	2	4	1	0	1	8	3	0	1	0	2	0
SRR1583038	0	0	1	2	0	0	4	0	0	0	0	1	0
SRR1582952	0	1	4	1	1	2	9	2	0	1	0	1	0
SRR1583040	0	1	1	0	0	0	4	0	0	0	0	0	0
SRR1583047	1	0	0	1	0	0	8	0	0	1	0	0	0
SRR1582999	0	0	0	0	0	0	5	0	1	0	0	0	0
SRR1582960	0	1	2	3	2	2	12	3	3	3	1	2	0
SRR1582965	0	1	1	0	0	0	11	1	2	0	0	1	0
SRR1582981	0	0	0	0	0	1	5	1	0	1	0	1	0
SRR1582909	1	2	2	1	0	1	10	1	2	2	0	1	0
SRR1582920	1	1	5	5	3	3	11	4	4	4	0	2	0
