ID	PCG	non-coding	rRNA	tRNA
NA20770	2	2	0	0
NA12890	1	0	0	1
NA19248	3	2	0	1
NA20287	5	0	1	1
NA20796	2	1	1	1
NA18942	3	0	2	1
HG00251	2	3	0	1
NA19190	2	0	0	0
HG01455	2	1	2	0
HG01494	1	0	1	0
HG00252	2	2	1	0
NA18613	4	0	0	0
HG00641	2	1	0	0
NA18573	1	0	0	0
NA19065	5	1	1	0
NA20535	1	1	0	0
NA18628	1	0	0	0
NA12286	1	0	1	1
HG00280	1	0	0	0
HG00267	4	0	1	0
NA18576	4	0	1	0
HG00607	2	2	0	0
NA20542	2	0	1	0
HG00534	2	0	0	0
NA20773	5	1	3	1
HG00457	1	0	0	0
NA19114	1	1	0	0
HG01069	12	0	0	1
HG00593	2	0	1	0
HG00361	1	1	0	1
NA18963	2	0	3	0
NA19453	2	0	0	0
HG01492	2	0	0	0
NA19197	2	0	1	0
NA18620	2	0	0	0
HG00367	10	8	1	1
HG00096	2	2	1	0
HG00559	2	0	0	0
HG00701	1	1	1	0
NA20799	1	0	0	0
HG00262	5	3	2	1
HG00111	6	0	2	0
NA19328	2	1	0	0
NA19096	2	0	2	0
HG00142	5	1	0	0
NA18861	1	2	0	2
NA19066	1	1	0	0
NA18553	2	0	1	0
NA19175	2	0	0	0
NA18908	2	0	0	0
HG01101	3	4	0	0
HG00373	1	0	0	0
NA12003	4	0	0	0
NA20760	3	0	0	0
HG00705	3	0	0	0
NA18610	1	1	0	0
HG01516	1	0	1	0
NA19307	2	1	1	0
NA19713	7	1	2	0
NA20342	3	0	0	0
NA19083	2	0	0	1
HG00626	1	0	1	0
HG01095	6	3	0	1
NA19095	4	0	0	0
HG00275	3	0	1	2
NA20341	2	1	1	1
HG00138	5	1	2	1
NA19382	3	1	1	1
NA20819	4	1	1	1
NA19704	5	3	4	1
NA18986	1	0	0	0
NA19393	6	0	0	0
NA19384	2	0	1	0
NA19776	2	1	1	0
NA20816	4	1	0	1
NA18749	4	0	0	0
NA19904	7	4	3	1
HG00343	1	0	1	0
HG00463	1	0	0	0
HG00376	1	0	0	1
HG01619	1	3	0	0
NA19005	4	0	1	0
NA18624	3	0	0	0
NA20504	4	0	0	0
NA18627	1	1	1	0
HG01174	2	1	0	0
HG01461	5	1	0	0
HG00128	3	1	1	0
HG00524	2	0	0	0
NA19075	1	3	3	0
HG01274	7	2	2	0
NA20539	4	0	4	0
HG00699	1	0	1	0
NA19398	2	0	0	0
NA20759	1	1	1	0
NA18527	9	1	1	0
NA19657	1	2	0	0
HG00112	5	0	0	0
NA19466	1	0	2	0
HG00099	3	0	0	0
NA18909	2	0	1	0
HG00268	1	0	0	0
NA18611	1	0	0	1
NA18616	4	0	1	0
NA12340	1	0	0	1
NA20800	2	0	0	1
NA18923	5	0	0	0
NA19703	29	17	6	1
HG00188	3	1	1	1
HG01522	1	0	0	0
NA20543	2	1	1	0
HG01133	2	0	0	0
NA19172	1	0	0	0
NA12273	1	0	0	0
HG01489	7	2	1	0
HG01626	29	10	6	3
NA18487	4	2	1	0
HG01073	7	5	1	0
NA12341	3	0	0	0
HG01344	1	0	1	0
HG01625	4	1	1	1
NA19204	1	0	0	0
NA18980	1	0	0	0
HG00235	4	2	0	0
NA19455	6	1	2	0
NA19780	3	1	0	1
HG00281	2	1	0	0
NA18745	5	0	1	1
HG00119	2	1	3	1
HG00140	3	0	2	0
NA20818	1	1	1	0
NA18548	2	1	0	0
NA20775	4	0	0	0
HG01080	7	2	0	0
NA20521	5	2	3	1
NA18961	1	0	1	0
NA19338	3	3	1	1
HG01275	2	0	0	0
HG00126	6	0	1	1
HG00097	1	1	0	0
NA12249	2	0	1	0
HG00182	2	0	0	0
NA19661	2	1	0	0
NA19701	4	0	2	0
NA20814	6	2	0	2
NA12830	3	0	0	0
HG01066	1	1	1	0
NA19000	1	0	0	0
NA20752	3	0	0	0
NA12889	3	0	0	0
NA18934	2	0	0	2
NA19734	1	1	0	0
NA10847	1	3	1	1
HG00238	3	0	2	1
NA19007	3	0	1	1
NA19467	1	1	1	0
NA12347	1	0	0	0
NA19383	3	0	1	1
