ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
NA20770	0	0	1	0	0	0	0	0	1	0	0	0	0
NA12890	0	0	0	0	0	0	0	0	0	1	0	0	0
NA19248	0	0	2	0	0	0	0	0	0	0	0	1	0
NA20287	1	0	1	0	0	1	0	0	0	0	1	0	1
NA20796	0	0	0	1	1	0	0	0	0	0	0	0	0
NA18942	0	0	0	0	0	1	0	0	0	1	1	0	0
HG00251	0	0	0	1	0	0	0	0	0	0	0	1	0
NA19190	0	0	0	0	0	0	1	0	0	0	0	1	0
HG01455	0	0	1	0	0	0	0	0	0	0	0	1	0
HG01494	0	0	0	0	0	0	0	1	0	0	0	0	0
HG00252	0	0	0	0	0	0	0	0	0	1	0	1	0
NA18613	0	1	0	0	0	0	1	0	0	1	0	1	0
HG00641	0	0	2	0	0	0	0	0	0	0	0	0	0
NA18573	0	0	1	0	0	0	0	0	0	0	0	0	0
NA19065	0	1	0	0	1	0	1	0	0	2	0	0	0
NA20535	0	0	1	0	0	0	0	0	0	0	0	0	0
NA18628	0	0	0	0	0	0	0	0	0	0	0	1	0
NA12286	0	0	1	0	0	0	0	0	0	0	0	0	0
HG00280	1	0	0	0	0	0	0	0	0	0	0	0	0
HG00267	0	0	0	1	0	2	1	0	0	0	0	0	0
NA18576	0	0	1	0	0	0	1	0	0	1	0	1	0
HG00607	0	0	0	0	1	0	0	0	0	0	0	1	0
NA20542	0	0	0	1	0	0	0	0	0	0	0	1	0
HG00534	0	0	0	0	0	1	0	0	0	1	0	0	0
NA20773	0	0	2	0	0	0	1	1	0	0	0	1	0
HG00457	0	0	1	0	0	0	0	0	0	0	0	0	0
NA19114	0	0	0	0	0	1	0	0	0	0	0	0	0
HG01069	0	0	3	0	0	0	0	0	1	1	0	5	2
HG00593	0	0	1	0	0	1	0	0	0	0	0	0	0
HG00361	0	0	0	0	0	0	1	0	0	0	0	0	0
NA18963	1	0	0	0	0	0	0	0	0	0	0	0	1
NA19453	0	0	0	0	0	0	0	0	1	1	0	0	0
HG01492	0	0	0	0	0	0	0	0	0	0	0	2	0
NA19197	0	0	0	0	0	1	0	0	0	0	0	1	0
NA18620	0	0	1	1	0	0	0	0	0	0	0	0	0
HG00367	0	0	4	0	2	0	0	0	0	1	1	2	0
HG00096	0	0	1	0	0	0	0	0	0	0	0	0	1
HG00559	0	0	1	0	0	1	0	0	0	0	0	0	0
HG00701	0	0	0	0	0	0	0	0	1	0	0	0	0
NA20799	0	0	0	0	0	0	0	0	0	0	0	1	0
HG00262	0	0	2	0	0	1	0	0	0	2	0	0	0
HG00111	0	0	1	0	0	2	1	1	0	1	0	0	0
NA19328	0	0	1	0	0	0	0	0	0	0	0	1	0
NA19096	0	0	0	1	0	0	1	0	0	0	0	0	0
HG00142	0	0	1	1	0	0	0	1	0	2	0	0	0
NA18861	0	0	0	0	0	0	0	0	0	1	0	0	0
NA19066	0	0	0	0	0	0	0	0	0	0	0	0	1
NA18553	0	0	0	0	0	1	0	0	0	0	0	1	0
NA19175	1	0	0	0	0	0	0	0	0	0	0	1	0
NA18908	0	0	0	1	1	0	0	0	0	0	0	0	0
HG01101	0	0	0	0	0	2	0	0	0	0	0	1	0
HG00373	0	0	1	0	0	0	0	0	0	0	0	0	0
NA12003	0	0	0	1	0	0	0	0	0	0	1	1	1
NA20760	1	0	0	0	1	0	0	0	0	1	0	0	0
HG00705	0	0	0	0	0	1	1	0	0	1	0	0	0
NA18610	0	0	0	0	0	0	0	0	0	0	0	1	0
HG01516	0	0	0	0	0	0	0	0	0	1	0	0	0
NA19307	0	0	0	0	1	0	1	0	0	0	0	0	0
NA19713	0	0	0	1	0	0	0	0	0	1	0	5	0
NA20342	0	0	1	0	0	0	0	1	1	0	0	0	0
NA19083	0	0	1	0	0	0	0	0	0	0	0	1	0
HG00626	0	0	0	0	0	0	0	0	0	1	0	0	0
HG01095	1	1	0	1	0	1	0	0	0	1	0	1	0
NA19095	0	0	0	1	0	0	0	0	1	0	0	1	1
HG00275	0	0	2	0	0	0	0	0	0	0	1	0	0
NA20341	0	0	0	0	0	0	1	0	0	1	0	0	0
HG00138	0	0	0	0	1	0	1	1	0	0	0	2	0
NA19382	0	0	0	0	0	0	0	0	0	2	0	0	1
NA20819	0	0	0	0	0	0	1	1	0	0	0	1	1
NA19704	2	0	1	0	0	0	1	0	0	0	0	0	1
NA18986	0	0	0	0	0	0	0	0	0	1	0	0	0
NA19393	0	0	0	3	0	1	1	1	0	0	0	0	0
NA19384	0	0	0	0	0	0	0	0	0	1	0	1	0
NA19776	0	0	0	0	0	0	0	0	0	0	0	2	0
NA20816	0	0	1	0	0	1	1	0	0	0	0	1	0
NA18749	0	0	0	0	1	0	0	0	0	0	2	1	0
NA19904	0	0	1	0	0	1	0	0	0	3	1	1	0
HG00343	0	0	0	0	0	1	0	0	0	0	0	0	0
HG00463	0	0	0	0	0	0	0	0	0	0	0	1	0
HG00376	0	0	0	0	0	0	0	0	0	0	0	1	0
HG01619	1	0	0	0	0	0	0	0	0	0	0	0	0
