ID,D_alpha_mito,D_alpha_PCG
HG00096,2.777777778,2
HG00097,2,1
HG00099,1,3
HG00100,3,1
HG00102,1.8,4
HG00103,2,2
HG00106,1.384615385,5
HG00108,2.793103448,1.8
HG00109,2.777777778,1
HG00110,2.666666667,1
HG00111,1.6,4.5
HG00112,1,5
HG00113,2.050847458,4.454545455
HG00114,2.777777778,2
HG00116,2.909090909,2.666666667
HG00117,1.6,3
HG00118,2,1
HG00119,3.266666667,2
HG00120,1.470588235,1
HG00121,1.8,1
HG00122,1.8,2
HG00123,1.8,2.666666667
HG00124,2,3
HG00125,1,3
HG00126,1.684210526,4.5
HG00127,1,3
HG00128,2.272727273,3
HG00129,2.314285714,3.571428571
HG00131,2.777777778,2
HG00133,2.777777778,1
HG00134,2,1
HG00135,1,3
HG00136,1.975609756,3
HG00137,3.6,2
HG00138,2.612903226,3.571428571
HG00139,1.8,1
HG00140,1.923076923,3
HG00141,2,2
HG00142,1.384615385,3.571428571
HG00143,2.612903226,5
HG00146,1,2
HG00148,1.384615385,5
HG00149,1.6,3
HG00150,1.8,2
HG00151,1,1
HG00152,1.975609756,4.5
HG00154,1,1
HG00155,2,3.24
HG00156,2.571428571,1.8
HG00158,1.8,2
HG00159,1.470588235,2.666666667
HG00160,1.6,3
HG00171,2.571428571,3
HG00173,1.470588235,2.666666667
HG00174,2,4
HG00178,1,1.8
HG00179,1.8,4
HG00180,1,5
HG00182,1,2
HG00183,2,1
HG00186,1,1
HG00187,1.470588235,4
HG00188,3,3
HG00189,2,1
HG00190,1,2
HG00231,1.470588235,4
HG00232,1.814814815,3.571428571
HG00233,1.8,2
HG00234,1,4
HG00235,1.8,4
HG00236,2.272727273,1.8
HG00237,1.470588235,2.666666667
HG00238,2.571428571,3
HG00240,1,1
HG00242,1.470588235,4
HG00243,1,2
HG00244,2.458239278,5.73015873
HG00245,1.515151515,4.571428571
HG00246,1,3
HG00249,1.6,1.8
HG00250,1.8,2
HG00251,2.571428571,2
HG00252,2.777777778,2
HG00253,1,2
HG00254,2.571428571,2
HG00256,2.666666667,2
HG00257,1,2
HG00258,1.423529412,4.263157895
HG00260,1.8,2
HG00261,1.324324324,2.571428571
HG00262,3.102564103,2.777777778
HG00263,1.324324324,3
HG00264,1.96,4
HG00265,1.923076923,3
HG00266,1,1
HG00267,1.470588235,2.666666667
HG00268,1,1
HG00269,1.814814815,2.272727273
HG00271,1.6,1.8
HG00272,1,2.666666667
HG00273,1.6,3
HG00274,1.6,1.8
HG00275,2.571428571,1.8
HG00276,1,1
HG00278,1,1
HG00280,1,1
HG00281,1.8,1
HG00282,2,1
HG00284,2,1
HG00285,1.8,2
HG00309,1,1.8
HG00310,2,1
HG00311,1.814814815,5
HG00312,1,1
HG00313,2,2
HG00315,2.571428571,1.8
HG00318,1.384615385,2.777777778
HG00319,1,2.666666667
HG00320,1.8,2
HG00321,1,2
HG00323,2,1.6
HG00325,1,1
HG00326,1,1.8
HG00329,1,2
HG00330,1,1
HG00331,1,2
HG00334,1,1
HG00336,1,1
HG00337,1.6,3
HG00338,1.8,2
HG00339,2,1
HG00342,1,1
HG00343,2,1
HG00344,1,2.666666667
HG00346,2.272727273,3
HG00349,2,1
HG00350,1.6,3
HG00356,2.666666667,1
HG00357,2,1
HG00358,1,2
HG00359,1,2
HG00361,3,1
HG00367,2.409638554,3.846153846
HG00369,1.8,2
HG00372,1.8,1
HG00373,1,1
HG00375,2.272727273,3
HG00376,2,1
HG00377,2.261306533,5.487804878
HG00382,2,1
HG00384,1.384615385,2.777777778
HG00403,1.28,3.769230769
HG00404,2.333333333,2.666666667
HG00407,1,1
HG00436,1,1
HG00446,2,1
HG00448,1,1
HG00452,1,1
HG00457,1,1
HG00463,1,1
HG00472,1,1
HG00478,1,1
HG00501,1.8,1
HG00524,1,2
HG00525,1,1
HG00533,1.6,4.5
HG00534,1,2
HG00536,2.777777778,2.272727273
HG00553,2.666666667,1
HG00554,1.324324324,4.5
HG00559,1,2
HG00560,1.470588235,1.6
HG00565,1.8,2
HG00566,1.6,3
HG00577,1.6,3
HG00578,1,2.666666667
HG00580,3,1
HG00581,1.923076923,1.8
HG00583,1,2.666666667
HG00584,2,1
HG00590,1,1
HG00592,1.384615385,3.571428571
HG00593,1.8,2
HG00595,1.470588235,1.6
HG00596,1,2
HG00607,2,2
HG00608,1.470588235,4
HG00610,1.8,2
HG00611,1,2
HG00613,2,4
HG00614,1,3
HG00619,1.8,2
HG00620,3,1
HG00625,1.470588235,2.666666667
HG00626,2,1
HG00628,3,1
HG00634,1.6,1.8
HG00635,1.6,1.8
HG00637,2.272727273,3
HG00638,1,2
HG00640,1.923076923,1.8
HG00641,1.8,1
HG00650,2.666666667,1
HG00651,1.8,1
HG00653,2,2
HG00654,1,1
HG00656,1.8,2
HG00657,2.666666667,2
HG00662,2,2.666666667
HG00663,1.8,1
HG00671,1.246153846,4
HG00672,1.384615385,3.571428571
HG00683,1,2.666666667
HG00684,2.666666667,1
HG00689,1,2
HG00690,2.882352941,3
HG00692,1,2
HG00693,1,4
HG00698,1.8,2
HG00699,2,1
HG00701,3,1
HG00702,1,2
HG00704,2,1
HG00705,1,3
HG00707,1.8,2
HG00708,1.8,2
HG00731,1.470588235,2.666666667
HG00732,2.777777778,1
HG00734,1.6,3
HG00736,2.272727273,3
HG00737,1,1.8
HG00740,2.24144064,7.48582996
HG01047,1.384615385,3.571428571
HG01048,2.272727273,3
HG01052,1.8,4.5
HG01061,1,1
HG01066,3,1
HG01067,1.246153846,4
HG01069,1.165517241,3.6
HG01070,1,1
HG01073,2.253333333,3.769230769
HG01075,2,1
HG01079,1,1
HG01080,1.528301887,5.444444444
HG01082,1,1
HG01095,2.173913043,6
HG01097,1,1
HG01101,1.96,1.8
HG01102,1,1
HG01104,1,1
HG01108,2.172980374,7.935622318
HG01112,2.909090909,2.666666667
HG01113,1.8,1
HG01125,1.8,2
HG01133,1,2
HG01134,1.198019802,6.25
HG01136,1.384615385,5
HG01137,2,4
HG01140,1.8,2
HG01168,1,1
HG01170,1.6,3
HG01174,1.8,1
HG01183,2,1
HG01188,1,3
HG01250,1.923076923,3
HG01251,2,2
HG01257,1.470588235,4
HG01259,1.470588235,4
HG01271,1.8,1
HG01272,1,1.8
HG01274,2.122807018,5.444444444
HG01275,1,1
HG01278,1,1
HG01334,2.666666667,1
HG01344,2,1
HG01345,1,2
HG01350,2.666666667,2
HG01353,1.945945946,4.571428571
HG01354,2,1
HG01356,1,1
HG01357,1.689655172,3.571428571
HG01359,1.814814815,3.571428571
HG01360,1,3
HG01365,2.666666667,1
HG01366,2.272727273,1
HG01374,1.857142857,4.764705882
HG01378,1,2
HG01389,1,3
HG01390,2,1
HG01437,1.588235294,3.769230769
HG01440,1.324324324,6
HG01441,1,1.8
HG01455,2.777777778,2
HG01461,1.384615385,5
HG01462,1,1.8
HG01465,2.666666667,2
HG01489,1.851851852,4.454545455
HG01491,3.571428571,1
HG01492,1,1
HG01494,2,1
HG01497,1.8,2
HG01498,1,4
HG01516,2,1
HG01518,1.6,3
HG01519,1,3
HG01521,2,4
HG01522,1,1
HG01550,1.470588235,4
HG01551,1,1.8
HG01618,2,1
HG01619,1.6,1
HG01620,1.6,1.8
HG01623,1.470588235,4
HG01624,1,1
HG01625,2.578947368,4
HG01626,2.336713996,6.519379845
NA06984,1,1
NA06986,1,1
NA06989,1.814814815,2.777777778
NA07000,2.890710383,4.481481481
NA07037,2,1
NA07048,2.798449612,2.578947368
NA07346,1.8,2
NA07347,1,1
NA10847,3,1
NA10851,1,1
NA11830,1,4.5
NA11831,1,3
NA11893,2,1
NA11918,1.8,2
NA11919,2,2
NA11920,1.923076923,2
NA11933,2.666666667,1
NA11993,1.6,3
NA11994,2,1
NA11995,1,3
NA12003,1,4
NA12004,1.470588235,2.666666667
NA12006,1.8,2
NA12043,1,2
NA12044,2.20610687,4.454545455
NA12045,2.333333333,2.666666667
NA12058,1,1
NA12144,1.96,2.666666667
NA12154,2,1
NA12155,2.333333333,4
NA12249,1.8,2
NA12273,1,1
NA12282,2.836575875,5.538461538
NA12286,3,1
NA12287,1,2
NA12340,2,1
NA12341,1,3
NA12342,1,3
NA12347,1,1
NA12383,1,1
NA12399,1,1
NA12400,1.8,2
NA12413,2.666666667,1
NA12717,1.8,2
NA12718,1.6,3
NA12750,1,4
NA12751,1,2
NA12761,1,1
NA12763,1,2
NA12775,1,3
NA12777,1,1
NA12778,3.555555556,1
NA12827,1,1
NA12830,1,1.8
NA12842,2,1
NA12843,1.6,3
NA12889,1,3
NA12890,2,1
NA18486,1,3
NA18487,2.333333333,2
NA18489,1.8,1
NA18499,1,3
NA18501,1,1
NA18504,2,1
NA18505,1.8,1
NA18507,2,2
NA18508,1.8,2
NA18510,1.6,1.8
NA18516,1.384615385,3.571428571
NA18517,1,2
NA18520,2,1
NA18522,1.684210526,6
NA18523,2,1
NA18525,1.423529412,3.857142857
NA18527,1.457831325,4.764705882
NA18528,1.8,2
NA18530,1,2
NA18532,1.6,3
NA18534,1,1
NA18535,2,1
NA18536,1.8,2
NA18537,1,3
NA18538,2.133333333,5
NA18539,2.314285714,8.561643836
NA18541,1,2
NA18543,3,1
NA18544,1,1
NA18545,1.8,2.666666667
NA18546,1.470588235,1.6
NA18547,1.8,2
NA18548,1.8,2
NA18549,1,1
NA18550,2.666666667,2
NA18552,1,2
NA18553,1.8,2
NA18555,1,1
NA18557,1.8,1
NA18558,1,2
NA18560,1,1
NA18561,1.6,3
NA18562,2.777777778,2
NA18564,3,1
NA18565,1,1
NA18566,2,1
NA18570,1,2
NA18571,2,1
NA18573,1,1
NA18574,1.96,8.576470588
NA18576,1.470588235,4
NA18577,1,4
NA18579,1,2
NA18592,1.8,1
NA18593,1,1
NA18596,2,1
NA18597,2.578947368,1.8
NA18605,2,1
NA18606,1,1
NA18608,1,1
NA18609,1.8,2
NA18610,2,1
NA18611,2,1
NA18613,1,4
NA18614,2,1
NA18615,1.384615385,5
NA18616,1.470588235,4
NA18617,1.470588235,2.666666667
NA18619,1,4
NA18620,1,2
NA18622,1,1
NA18624,1,1.8
NA18626,1,2
NA18627,3,1
NA18628,1,1
NA18630,2.272727273,1
NA18631,2.666666667,1
NA18634,1.6,3
NA18636,2,1
NA18639,1,1
NA18640,1.814814815,5
NA18641,2,1
NA18642,1.384615385,3.571428571
NA18643,3,2
NA18647,1,2
NA18740,2,2
NA18745,1.814814815,3.571428571
NA18748,1,3
NA18749,1,2.666666667
NA18757,1.8,2
NA18853,2,4
NA18856,3.769230769,2
NA18858,2,1
NA18861,2.777777778,1
