ID	PCG	non-coding	rRNA	tRNA
M117	6	6	1	0
M132	9	9	3	0
M137	11	5	2	0
M186	8	6	1	0
M188	1	17	3	0
M190	7	3	2	0
M195	6	4	1	0
M196	5	7	1	0
M199	7	5	1	0
M200	10	5	2	1
M203	23	1	2	0
M207	1	11	1	0
M210	7	6	1	0
M211	7	10	1	0
M213	11	14	1	1
M231	11	4	2	0
M234	8	5	1	0
M236	10	6	1	0
M240	1	2	3	0
M242	7	7	1	0
M249	5	7	1	0
M250	14	19	3	0
M252	9	5	1	0
M477	8	6	1	0
M478	5	6	1	0
M480	5	6	3	0
M490	9	7	3	0
M493	5	3	1	0
M494	11	8	1	0
M500	11	5	2	0
M502G	7	3	1	0
M512	8	9	3	2
M520	9	8	3	0
SC14	1	17	2	0
SC16	10	6	2	0
SC8	9	7	1	0
