ID	PCG	non-coding	rRNA	tRNA
m_blood	6	6	1	0
m_blood	9	9	3	0
m_blood	11	5	2	0
m_blood	8	6	1	0
m_blood	1	17	3	0
m_blood	7	3	2	0
m_blood	6	4	1	0
m_blood	5	7	1	0
m_blood	7	5	1	0
m_blood	10	5	2	1
m_blood	23	1	2	0
m_blood	1	11	1	0
m_blood	7	6	1	0
m_blood	7	10	1	0
m_blood	11	14	1	1
m_blood	11	4	2	0
m_blood	8	5	1	0
m_blood	10	6	1	0
m_blood	1	2	3	0
m_blood	7	7	1	0
m_blood	5	7	1	0
m_blood	14	19	3	0
m_blood	9	5	1	0
m_blood	8	6	1	0
m_blood	5	6	1	0
m_blood	5	6	3	0
m_blood	9	7	3	0
m_blood	5	3	1	0
m_blood	11	8	1	0
m_blood	11	5	2	0
m_blood	7	3	1	0
m_blood	8	9	3	2
m_blood	9	8	3	0
m_blood	1	17	2	0
m_blood	10	6	2	0
m_blood	9	7	1	0
