ID	PCG	non-coding	rRNA	tRNA
M117	40	5	5	0
M132	35	9	4	0
M137	39	4	4	0
M186	47	10	7	0
M188	18	17	3	0
M190	43	7	7	0
M195	53	11	6	0
M196	30	7	3	0
M199	43	10	3	0
M200	32	13	3	1
M203	24	7	5	0
M207	16	20	7	0
M210	37	11	6	1
M211	18	15	3	0
M213	19	14	2	0
M231	20	6	3	0
M234	19	8	4	0
M236	28	6	5	0
M240	14	5	2	0
M242	21	7	4	0
M249	22	12	1	0
M250	14	15	4	0
M252	23	7	3	0
M477	30	11	3	0
M478	34	10	4	0
M480	39	18	6	0
M490	41	19	5	0
M493	40	10	6	0
M494	80	18	8	0
M500	77	18	7	0
M502G	19	8	2	1
M512	49	16	7	3
M520	38	15	4	0
SC14	11	9	1	0
SC16	54	15	8	1
SC8	40	11	5	0
