ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
M117	0	0	0	0	0	0	6	0	0	0	0	0	0
M132	0	0	2	0	0	0	6	0	0	0	0	0	1
M137	2	0	0	1	0	0	7	0	0	0	0	1	0
M186	0	0	0	1	0	0	7	0	0	0	0	0	0
M188	0	0	0	0	0	0	0	1	0	0	0	0	0
M190	0	0	0	1	0	0	5	1	0	0	0	0	0
M195	0	0	0	0	0	0	5	0	1	0	0	0	0
M196	0	0	0	0	0	0	5	0	0	0	0	0	0
M199	0	0	0	0	0	0	7	0	0	0	0	0	0
M200	1	0	0	0	0	0	7	0	0	1	0	1	0
M203	1	1	0	2	0	0	13	1	1	2	0	2	0
M207	0	0	1	0	0	0	0	0	0	0	0	0	0
M210	0	0	0	0	0	0	5	0	0	2	0	0	0
M211	0	0	2	0	0	0	5	0	0	0	0	0	0
M213	0	0	0	1	0	0	9	0	1	0	0	0	0
M231	0	1	0	1	0	0	9	0	0	0	0	0	0
M234	1	0	0	1	0	0	5	0	0	0	0	1	0
M236	0	0	1	1	0	0	7	0	0	0	0	0	1
M240	0	0	0	0	0	0	0	0	0	0	0	1	0
M242	0	0	0	0	0	0	6	0	0	0	0	1	0
M249	0	1	0	0	0	0	3	0	0	0	0	1	0
M250	0	0	0	0	0	0	13	0	1	0	0	0	0
M252	0	0	1	1	0	0	6	0	1	0	0	0	0
M477	0	0	0	1	0	0	7	0	0	0	0	0	0
M478	0	0	1	0	0	0	4	0	0	0	0	0	0
M480	0	1	0	0	0	0	4	0	0	0	0	0	0
M490	0	1	0	1	0	0	7	0	0	0	0	0	0
M493	0	0	0	0	0	0	5	0	0	0	0	0	0
M494	1	0	0	1	0	0	8	0	0	1	0	0	0
M500	0	1	0	1	0	0	8	0	0	1	0	0	0
M502G	1	0	0	0	0	0	6	0	0	0	0	0	0
M512	0	1	1	0	0	0	6	0	0	0	0	0	0
M520	0	0	0	2	0	0	7	0	0	0	0	0	0
SC14	0	0	0	0	0	0	0	0	0	1	0	0	0
SC16	0	0	0	1	0	1	7	0	0	1	0	0	0
SC8	0	0	0	1	1	0	7	0	0	0	0	0	0
