Sample	Dmito	Dpcg	group
PYL_MA01	1.603960396	3.92	PYL_MA
PYL_MA02	1.588235294	2.333333333	PYL_MA
PYL_MA03	1.497925311	1.14213198	PYL_MA
PYL_MA04	1.083188908	1.932885906	PYL_MA
PYL_MA05	1.324324324	2.691588785	PYL_MA
PYL_MA06	1.588235294	2.172413793	PYL_MA
ZQ_MH01	1.73964497	8.356521739	ZQ_MH
ZQ_MH02	1.270676692	5.943820225	ZQ_MH
ZQ_MH03	1.646723647	7.681818182	ZQ_MH
ZQ_MH04	1.811320755	6.14893617	ZQ_MH
ZQ_MH05	1.449101796	5.4	ZQ_MH
ZQ_MH06	1.799524093	8.24742268	ZQ_MH
LX_MP01	2.461538462	6.4	LX_MP
LX_MP02	2.010923535	9	LX_MP
LX_MP03	3.27027027	2.666666667	LX_MP
LX_MP04	3.52173913	1.8	LX_MP
LX_MP05	1.796491228	7.895522388	LX_MP
LX_MP06	1.905511811	4.411764706	LX_MP
QTJ_MS01	1.614224577	8.110732538	QTJ_MT
QTJ_MS02	1.460787504	7.051282051	QTJ_MT
QTJ_MS03	1.483319076	7.415500538	QTJ_MT
QTJ_MT01	2.050847458	5.444444444	QTJ_MT
QTJ_MT02	2.197802198	4.235294118	QTJ_MT
QTJ_MT03	2.100840336	8.712	QTJ_MT
