ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
M117	2	1	2	3	1	2	19	5	2	1	0	1	1
M132	0	1	1	3	1	2	12	5	4	2	0	2	2
M137	2	2	2	5	1	2	15	2	2	3	0	3	0
M186	0	1	6	4	3	3	16	2	1	6	1	4	0
M188	1	0	0	1	0	0	14	1	1	0	0	0	0
M190	1	1	5	5	3	3	11	4	4	4	0	2	0
M195	1	1	5	3	2	4	17	4	3	6	2	5	0
M196	1	1	2	4	1	3	9	2	1	4	0	2	0
M199	1	1	4	2	1	2	14	3	4	5	0	6	0
M200	1	1	5	2	0	2	10	3	2	3	0	3	0
M203	0	1	0	0	0	0	15	0	6	1	0	1	0
M207	0	1	0	0	0	0	13	0	1	0	0	1	0
M210	1	1	4	4	1	2	8	3	2	5	0	6	0
M211	0	1	5	2	0	1	3	2	1	2	0	1	0
M213	0	1	4	1	1	1	5	2	1	2	0	1	0
M231	0	0	3	1	0	0	9	3	1	2	0	1	0
M234	0	1	3	3	0	0	7	1	2	1	0	1	0
M236	0	1	4	3	1	2	9	3	3	0	0	1	1
M240	0	1	3	1	0	1	4	2	0	1	0	1	0
M242	1	1	2	2	0	0	8	1	1	3	0	2	0
M249	0	1	4	1	1	2	9	2	0	1	0	1	0
M250	0	0	0	0	0	0	13	0	1	0	0	0	0
M252	0	0	4	2	0	2	10	2	0	2	0	1	0
M477	0	1	3	4	0	1	13	3	2	1	0	2	0
M478	0	1	2	3	2	2	12	3	3	3	1	2	0
M480	2	2	5	6	0	2	13	1	3	2	0	3	0
M490	0	1	4	3	2	2	16	2	3	5	1	2	0
M493	0	1	6	4	3	3	11	1	3	4	1	3	0
M494	5	5	8	5	2	2	22	7	5	13	1	5	0
M500	3	4	10	6	2	4	20	4	4	12	2	4	2
M502G	1	1	2	1	1	0	8	1	1	2	0	1	0
M512	1	1	4	3	1	3	19	4	3	5	1	4	0
M520	2	1	4	1	2	3	15	3	2	2	1	2	0
SC14	0	0	3	2	1	1	1	1	0	1	0	1	0
SC16	2	2	6	5	2	3	20	2	5	6	0	1	0
SC8	3	1	4	2	2	2	13	4	1	4	1	3	0
